CS458 Natural Language Processing
BCS-9A
Assignment 2
Taimoor Khan
•
Oct 18, 2020
100 points
Due Oct 26, 2020
Perform text classification using the attached dataset. Try different classifiers and report their accuracy.

Movies_TV.txt
Text
Class comments

Your work
Turned in

knn_classification.ipynb
Colaboratory

Movies_TV.csv
Excel
Private comments


Domain	Label	Rating	Review
Movies_TV	POS	5	my boy love this film . sometime my youngest get scared of Captain Hook . the story be great , and I think little boy can really connect to it . beautiful , fun music as well .
Movies_TV	NEU	3	on my disk the last scene of episode 2 : New Earth be miss . instead the disk cut to a gory scene from what appear to be `` the Texas Chainsaw Massacure '' . look at the dvd menue I see that the last scene be title `` Time to die '' . I can only guess that the manufacturer of the dvd insert a simularly title scene from another movie . parent be warn , the scene in question be NOT for child .
Movies_TV	POS	4	I have a 4yr old son and he love this cartoon , and I too i buy it because of the story its so intresting .
Movies_TV	POS	5	this sequal be wonderful . the animation be excellent , though other may comment that it be not correct to the original style . I hate to be the one to point this out , but we be no longer in the 50 's decade . animation have come a long way since then , so of course it will look sharper . from a artist 's standpoint , there be such subtly and depth to each scene that , storyline aside , it be delightful to watch - especially character reaction . as for the story , it be clean -lrb- which be a rarety in and of itself -rrb- as well as entertaining . the plot take a fun twist on what would happen if the wand be in another 's hand and really try to prove that even without magical assistance , Cinderella could still hold she own . and be not that what the 50 's version be attempt to point out as well ? I do not think this movie detract from the original , but instead be a fun , relax form of entertainment . however , to be fair , the only part I find irritating be the change in the mouse 's diction . that be the only change that I find annoying enough to mention . that aside , it be nice to see a woman fight for she dream and get they - and a prince with a personality to boot ! so I would recommend this movie to those who just want a clean , fun , and intelligent source of entertainment for themselves as well as they child .
Movies_TV	POS	5	I really hope sci-fi never take off the doctor . this be the best show on tv !!!!! I will be buy this once I can afford it ! I could watch they over and over ! Rose be awesome !! once again BBC win .
Movies_TV	NEU	3	Disney be definitely let down the dvd communtiy compare to other company . aside from some artwork , this dvd have nothing else on it except the movie itself . good heaven for the price Disney charge , there should be a paint cell from the movie come with the dvd .  the story itself be a classic . the animation have not hold up all that well , though I think some of that have to be due to the introduction of computer animation .  none of the song be really noteworthy .
Movies_TV	POS	5	the prior reviewer need a little schooling in widescreen . the 1st . true widescreen film be the robe in Cinemascope 1953 and follow by how to marry a Millionaire both by 20th Century Fox who own the process . not the King & I. by 1956 widescreen be in full swing with most of the study either use cinemascope or use one of they own . quite possibly disney could give this film a matting since the industry standard in film be not 1.33 and tv be not yet a household item at the time . also , disney do produce 2 film in widescreen Lady & The Tramp and sleep Beauty Cinemascope and Technirama . both beautifully do on dvd and vh . so please get you fact straight when make strong statement about other comment .
Movies_TV	POS	5	`` Peter Pan '' , the 2nd Disney Classic that I add to my dvd library be another keeper . another favorite from my childhood , the film be still a great experience to watch . the animation be still classic , as be the story . of course , the appeal of the film have change for I , from what it be when I be a kid . it be now a classic animation film , rather then just a cartoon .  I be suprise with Disney do not announce that this film be go to be part of they `` platinum edition '' , but this dvd -lrb- while no extra -rrb- be still worth the purchase for the film its self . the picture be adequete as be the Dolby Digital Mix -lrb- Adequete for a animated film that be -rrb- .  if you be a dvd Collector , you should strongly consider purchase this dvd , and all of Disney 's classic .
Movies_TV	NEU	3	the instructor be a little annoying , she be make much love to the camera way too often . find it very distracting and uncomfortable , however it feel like a work out . as long as you do not mind some woman make sexy eye at you , you will like this video .
Movies_TV	POS	5	doctor who have return to telelvision after a long hiatus , and it be still `` get it '' , to quote the Doctor himself . the second season\/series be exciting , frightening , dramatic , and fun all at the same time . it be good family entertainment . smaller child might find some of the alien a little frightening , but , as a parent , that would be my only concern with this program . virtually no swearing , no bed hop , or nudity , and at the end of the day , the doctor take a stand and do what he think be right , because he believe that that be what you should do .
Movies_TV	POS	5	purchase this thru rare video in FlA. via Amazon . it be as advertise , English , Widescreen Version , excellent sound & NEW . I would recommend rare video for other dvd 's which be unavailable for purchase in retail or discount store . be thrill to be send to my grandson for he birthday . Forgot what a delightful movie this be until I review it before send it on to he -lrb- 5 yr . old -rrb- .
Movies_TV	POS	5	I remember the older show when I be a kid and use to laugh at the cheesey special effect and costume but all that have change now ! I can not wait for the next season !
